DateTime,Entries,UniqueIPs
1547336427,5561,5561
1547338622,5566,5566
1547340496,5565,5565
1547342453,5568,5568
1547344360,5569,5569
1547346282,5579,5579
1547348170,5580,5580
1547350096,5575,5575
1547352300,5610,5610
1547354451,5596,5596
1547356358,5596,5596
1547358508,5669,5669
1547360445,5663,5663
1547362347,5702,5702
1547364277,5693,5693
1547366473,5704,5704
1547368340,5742,5742
1547370534,5810,5810
1547372686,5889,5889
1547374827,5968,5968
1547376732,5970,5970
1547378685,5979,5979
1547380570,5979,5979
1547382515,6775,6775
1547385389,7351,7351
1547387326,7350,7350
1547389481,7345,7345
1547391384,7360,7360
1547393563,7355,7355
1547395500,7355,7355
1547397626,7356,7356
1547399853,7340,7340
1547401708,7081,7081
1547403614,6993,6993
1547405539,6665,6665
1547407492,6666,6666
1547409404,6421,6421
1547411542,6427,6427
1547413493,6101,6101
1547415387,5701,5701
1547417572,5300,5300
1547419531,4916,4916
1547421406,4561,4561
1547423302,4079,4079
1547425248,4700,4700
1547427151,5489,5489
1547429078,6138,6138
1547431252,6945,6945
1547433161,7562,7562
1547435084,8170,8170
1547436988,8170,8170
1547439180,8092,8092
1547441102,8091,8091
1547443013,8087,8087
1547444912,8088,8088
1547447080,8091,8091
1547448999,8099,8099
1547450921,8095,8095
1547453092,8074,8074
1547455218,8016,8016
1547457171,7924,7924
1547459077,7836,7836
1547461251,7750,7750
1547463401,7749,7749
1547465296,7755,7755
1547467227,7754,7754
1547469268,7759,7759
1547471097,7754,7754
1547472983,7759,7759
1547474950,7758,7758
1547476822,7762,7762
1547479001,7775,7775
1547480918,7899,7899
1547482834,7878,7878
1547484732,7869,7869
1547486669,7867,7867
1547488613,7864,7864
1547490499,7996,7996
1547493377,8371,8371
1547495538,7340,7340
1547497483,6821,6821
1547499373,6628,6628
1547501298,6619,6619
1547503232,6617,6617
1547505170,6602,6602
1547507055,6762,6762
1547509167,7543,7543
1547511145,7191,7191
1547513074,6167,6167
1547514990,5561,5561
1547517153,4708,4708
1547519082,4032,4032
1547520975,3242,3242
1547522898,3179,3179
1547524840,3181,3181
1547526732,3180,3180
1547528716,3176,3176
1547530834,3171,3171
1547532770,3169,3169
1547534896,3141,3141
1547536822,3141,3141
1547538729,3139,3139
